,Name,City,Cuisines,Average Cost,Aggregate Rating
51,Zaz礴 Bistr砬 Tropical,West Yellowstone,"Tea, BBQ",27,4.6
52,Fil愆 de Ouro,Williston,"Desserts, Tea, Cafe, Fast Food, Chinese",33,4.3
53,D.O.C Ristorante,Punta Gorda,"Chinese, Bakery, American, Cafe",97,4.0
54,Sushi Leblon,San Luis Obispo,"French, BBQ, Fast Food, Indian, Seafood",38,4.6
55,Talho Capixaba,Killeen,"Bakery, Mexican, Indian, Pizza",91,4.4
56,Leme Light,Reno,"Cafe, Mexican, Fast Food",55,4.2
57,Shirley,Rapid City,"Desserts, Mexican, BBQ, Fast Food, Cafe",55,4.2
58,Quiosque Chopp Brahma,Austin,"Tea, Pizza, Bakery, Fast Food, Indian",69,0.0
59,Apraz韄vel,Gulfport,"Seafood, Pizza, Desserts, Fast Food",68,4.7
60,Aconchego Carioca,Helena,"Tea, American, Desserts",58,4.6
61,Garota de Ipanema,Adak Island,"Desserts, Tea, BBQ, Indian, Seafood",15,4.3
62,Cantina Famiglia Mancini,Albuquerque,"Tea, Cafe, Desserts",40,4.5
63,Templo da Carne - Marcos Bassi,Erie,"Pizza, French, Bakery, Mediterranean, Seafood",27,4.4
64,Gopala Hari,Boise,"Tea, Pizza, Italian, Fast Food, Mediterranean, Seafood",28,3.1
65,Jiquitaia,Bozeman,"Tea, Pizza, American",36,4.1
66,Skye - Hotel Unique,Duluth,"French, Mexican, Bakery, BBQ",31,4.8
67,Les 3 Brasseurs,Knoxville,"Desserts, Pizza, Italian, Cafe, Indian",24,4.6
68,Red Steak & Burger,Brunswick,"Bakery, BBQ",96,3.9
69,Cantinho da Gula,Lubbock,"Cafe, BBQ, Desserts, Italian",78,0.0
70,Paris 6 Classique,Lubbock,"Desserts, Cafe, Pizza, Mexican, BBQ, Chinese",91,3.4
71,Kawa Sushi,State College,"French, Mexican, Desserts, Fast Food",82,3.5
72,A Figueira Rubaiyat,Rhinelander,"Cafe, Pizza, Desserts, Fast Food",94,4.3
73,Kinoshita,White Plains,"Tea, Pizza, Fast Food, American, Seafood",42,3.9
74,Meats,Victoria,"Tea, Cafe, Pizza, Seafood",56,4.3
75,Paribar,Grand Rapids,"French, BBQ, Seafood",54,4.3
76,Terra韄o It礴lia,Florence,"Tea, Chinese, Pizza, BBQ",85,4.4
77,Divino Fog恚o,Key West,"Tea, Bakery, BBQ, Seafood",68,0.0
78,Super Grill,Vernal,"Desserts, BBQ, Bakery, Cafe, Indian",96,0.0
79,Esquina Mocot韄,Branson,"Pizza, Bakery, Fast Food, Cafe, Indian",21,4.4
80,Veloso,Lewiston,"Cafe, Pizza, American, Fast Food",19,4.6
81,Sainte Marie Gastronomia,Fort Dodge,"Bakery, Mediterranean, BBQ",57,4.1
82,Austin's BBQ and Oyster Bar,Grand Junction,"Tea, Bakery, Fast Food, Indian, Seafood",15,3.3
83,BJ's Country Buffet,Manchester,"Cafe, BBQ",33,3.3
84,Cookie Shoppe,Punta Gorda,"Tea, Bakery, BBQ, Mediterranean, Seafood",44,3.4
85,El Vaquero Mexican Restaurant,Huntsville,"Desserts, Seafood",82,3.4
86,Elements Coffee Co - Northwest,Bristol,"Tea, Pizza, BBQ, Indian, Seafood",18,3.4
87,Pearly's Famous Country Cookng,Grand Rapids,"Tea, Pizza",86,3.4
88,Chick-fil-A,Spokane,"Bakery, American, BBQ",83,3.5
89,Guang Zhou Chinese Restaurant,Richmond,"Desserts, Tea, Cafe, Fast Food, Chinese, Indian",84,3.9
90,Harvest Moon,Pocatello,"Pizza, Fast Food",90,3.7
91,Henry Campbell's Steakhouse,Norfolk,"Chinese, Cafe, Seafood",83,3.5
92,Hong Kong Cafe,Philadelphia,"Tea, Pizza, Italian, BBQ, Cafe",47,3.6
93,House of China Restaurant II,Mosinee,"Tea, Pizza, French, Cafe, Seafood",96,3.8
94,Jimmie's Hot Dogs,Santa Ana,"Fast Food, BBQ, Italian",96,3.9
95,Locos Grill & Pub,Grand Island,"Tea, Chinese, Desserts",29,3.5
96,Longhorn Steakhouse,Santa Rosa,"French, Pizza, BBQ, Fast Food",83,3.5
97,Mikata Japanese Steakhouse,Appleton,"Cafe, Pizza, Bakery, Italian",72,3.6
98,Shogun Japanese Steak House,Raleigh,"Tea, French, Mexican, Fast Food",83,3.5
99,The Catch Seafood Room & Oyster Bar,Watertown,"Tea, BBQ, Fast Food, Mediterranean, Seafood",51,3.8
100,Villa Gargano,Jacksonville,"Tea, American, Desserts",51,3.7
101,3 Squares Diner,Lubbock,"Pizza, Indian, Fast Food",73,3.4
102,Whitebull Hotel,North Platte,"Bakery, BBQ, Italian",89,3.5
103,Last Resort Grill,Omaha,"Cafe, American, Fast Food",81,4.5
104,Mama's Boy Restaurant,Wichita Falls,"Bakery, BBQ",25,4.5
105,Sr. Sol 1,Savannah,"Tea, French, Mediterranean, Desserts",30,4.6
106,Choo Choo Eastside,Stockton,"Tea, Chinese, Bakery",40,3.9
107,The Grill,Aguadilla,"Desserts, Tea, BBQ, Fast Food, Mediterranean",78,3.7
108,Big City Bread Cafe,Texarkana,"Cafe, Pizza, Bakery, BBQ",61,4.3
109,Clocked,Miami,"Tea, Italian, Mexican, BBQ, Cafe",49,4.2
110,DePalma's Italian Cafe - Downtown,San Angelo,"French, Pizza, Chinese, Seafood",38,4.0
111,DePalma's Italian Cafe - East Side,Bakersfield,"Chinese, Pizza, Bakery",12,4.1
112,Five & Ten,Saginaw,"French, Pizza, Bakery",86,4.3
113,Grit,Mosinee,"Bakery, BBQ, Seafood",28,4.2
114,Ike & Jane,Fort Smith,"Cafe, Pizza, Indian, Seafood",20,4.1
115,La Dolce Vita Ristorante,North Bend,"Cafe, Pizza, Mediterranean, Fast Food",20,4.1
116,Shokitini,Buffalo,"Tea, Cafe, Pizza, Mexican, Chinese, Seafood",41,4.2
117,Taqueria Del Sol,Syracuse,"Pizza, BBQ, Fast Food, Chinese, Seafood",61,4.1
118,The National,Johnstown,"Chinese, BBQ, Cafe, Seafood",47,4.1
119,The Royal Peasant,Salisbury,"Tea, Seafood",87,4.4
120,Transmetropolitan,Hartford,"Bakery, American, BBQ, Seafood",42,4.4
121,Trappeze Pub,Dothan,"Desserts, Tea, Italian, French, BBQ, Seafood",47,4.2
122,Viva! Argentine Cuisine,Harrisburg,"Mexican, Pizza, BBQ",28,4.1
123,Miyabi Kyoto Japanese Steak House,Sarasota,"Desserts, Tea, Pizza, French, Cafe",22,4.6
124,Rae's Coastal Cafe,Midland,"Tea, Seafood",20,4.9
125,The Bee's Knees,Santa Ana,"Cafe, Pizza, Desserts, Seafood",12,4.5
126,Boll Weevil Cafe,Killeen,"Tea, Pizza",74,3.9
127,Farmhaus Burger,Muskegon,"Desserts, Tea, Pizza, French, Cafe",75,3.9
128,Manuel's Bread Cafe,Lansing,"French, Pizza, Seafood",28,3.8
129,Sconyers Bar B Que,Des Moines,"Tea, Cafe",17,3.5
130,Frog Hollow Tavern,Pensacola,"American, BBQ, Fast Food, Cafe, Indian",20,4.3
131,Giuseppe's Pizza & Italian Specialities,Long Beach,"Bakery, Fast Food, Cafe, Indian, Mediterranean, Seafood",72,4.1
132,Mellow Mushroom,Beaumont,"Pizza, Bakery, BBQ, Fast Food, Indian",86,4.4
133,Nacho Mamas Burritos,Portland,"Chinese, Pizza, Seafood, Italian",54,4.0
134,Rhinehart's Oyster Bar,Grand Forks,"Tea, French, Bakery, Indian",29,4.0
135,Takosushi,Scranton,"Bakery, Pizza",20,4.2
136,The Chop House,Marquette,"Desserts, Tea, Pizza, Mexican, Bakery, Indian",81,4.0
137,The Taj of India,Bangor,"Cafe, Pizza, BBQ, Italian",74,4.0
138,Augsburg Haus,Sioux City,"Seafood, Fast Food",84,3.9
139,Pho Bac,Punta Gorda,"Fast Food, Mediterranean, Desserts, Italian",19,4.1
140,Rhinehart's Oyster Bar,Nantucket,"Tea, Pizza, Mediterranean, Seafood",44,4.0
141,Thai Kitchen,Binghamton,"Desserts, Pizza, Bakery, BBQ, Chinese",85,4.3
142,El Kiosco Mexican Restaurant,White Plains,"Tea, Pizza",65,4.2
143,Taste of Balingup,Marquette,"BBQ, Desserts",35,3.2
144,Bridge Road Brewers,Hyannis,"Pizza, BBQ, Italian",33,4.6
145,Bardenay,Provo,"Seafood, Bakery, Cafe, Italian",49,4.5
146,Flatbread Neapolitan Pizzeria,Roanoke,"Pizza, Italian, Bakery, Fast Food, Indian, Seafood",78,4.6
147,Goldy's Breakfast Bistro,La Crosse,"Desserts, Tea, Cafe, American, Seafood",94,4.5
148,Chandlers Steakhouse,Duluth,"Desserts, Tea, Italian, Bakery, Fast Food, American",98,3.9
149,Bar Gernika Basque Pub & Eatery,Palm Springs,"Tea, Pizza, Desserts, Fast Food",50,4.3
150,Barbacoa Restaurant,Williston,"Pizza, Italian, BBQ, Cafe, Mediterranean",91,4.1
151,Big Jud's,Sioux Falls,"Cafe, American, Seafood",90,4.2
152,Bittercreek Ale House,Little Rock,"Tea, French, Cafe, Fast Food",13,4.3
153,Boise Fry Company,Devils Lake,"Desserts, Mexican, Bakery, Fast Food, Cafe",99,4.4
154,Flying Pie Pizzaria,Great Falls,"Desserts, Bakery, Fast Food, Cafe, Indian, Mediterranean",78,4.1
155,Fork,Waco,"Tea, French, Mediterranean, Seafood",58,4.4
156,Guido's Original New York Style Pizza,Dodge City,"Desserts, Bakery, BBQ, Fast Food, Mediterranean",83,4.3
157,Los Beto's,El Paso,"Tea, Chinese, Cafe, Desserts",34,4.4
158,Lucianos Italian Restaurant,Clarksburg,"Chinese, Bakery, Pizza, Seafood",53,4.4
159,Mai Thai Restaurant,Alexandria,"Chinese, Bakery, BBQ, Fast Food",77,4.0
160,Shige Japanese Cuisine,Aberdeen,"Desserts, Tea, Pizza, French, Fast Food",12,4.1
161,The Egg Factory,Alexandria,"Cafe, Mexican, American, Desserts",91,4.3
162,Tucanos,Syracuse,"Pizza, BBQ, Desserts",36,4.0
163,Texas Roadhouse,Eau Claire,"French, BBQ, Cafe, American, Seafood",24,4.0
164,Brick 29,Appleton,"Desserts, Tea, BBQ, Cafe, American, Mediterranean",97,4.4
165,Winifreds,Long Beach,"Bakery, BBQ, Fast Food",23,3.7
166,Biaggi's Ristorante Italiano,Stockton,"French, Bakery, Cafe, Seafood",20,4.1
167,El Super Burrito,St. Louis,"Tea, Cafe, Mediterranean, Fast Food",43,4.1
168,Granite City Food & Brewery,Erie,"BBQ, Cafe, Indian, Desserts",55,4.1
169,Irish Democrat,Boston,"Tea, Cafe, Bakery, Fast Food",18,4.4
170,Taste of India,Baton Rouge,"Tea, Bakery, Chinese, Indian, Seafood",28,4.2
171,Thai Moon Restaurant,Lewiston,"Pizza, Indian, Seafood",89,4.2
172,Ting's Red Lantern,Seattle,"Italian, Bakery, BBQ, Fast Food, Chinese, Seafood",24,4.2
173,Monica's,Salisbury,"Bakery, Fast Food",15,3.8
174,Exotic India,Myrtle Beach,"Indian, BBQ, Fast Food",81,4.1
175,Shorts Burger and Shine,Miami,"Chinese, Cafe, Seafood",81,4.9
176,The Hamburg Inn No. 2 Inc.,Kotzebue,"Desserts, French, Mexican, BBQ, Cafe",36,4.5
177,Bluebird Diner,Baton Rouge,"Cafe, Mexican, Desserts, Fast Food",13,3.6
178,Graze,Portsmouth,"French, Pizza, Fast Food",85,3.8
179,A & A Pagliai's Pizza,Alpena,"Tea, American, Fast Food",72,4.3
180,Atlas World Grill,Rochester,"Tea, Bakery, Mexican, Pizza",54,4.3
181,BlackStone,Missoula,"Italian, Bakery, Fast Food, Cafe, Mediterranean",53,4.1
182,Devotay,Toledo,"Chinese, BBQ, Seafood",78,4.0
183,Jimmy Jack's Rib Shack,Baton Rouge,"Tea, American, BBQ, Fast Food",12,4.2
184,Zoeys Pizzeria,Paducah,"Desserts, Tea, Cafe, Mexican, Fast Food, Chinese",67,4.7
185,Tokyo Sushi,San Francisco,"Cafe, Pizza, BBQ",18,3.7
186,Berry Patch Restaurant,Pensacola,"Bakery, BBQ, Desserts, Seafood",13,4.3
187,Sakura Sushi & Grill,College Station,"Cafe, Pizza, French, BBQ, Fast Food, Chinese",59,3.1
188,Uptown Vietnam cuisine,Lynchburg,"Cafe, Bakery, Indian, Seafood",63,3.3
189,Cafe Le Rue @ The Landings,San Antonio,"French, Mexican, Cafe, Seafood",19,4.6
190,Mark's City Grille,Fresno,"Tea, Cafe, BBQ, Desserts",71,4.5
191,B Merrell's,Augusta,"Tea, Pizza, Desserts, Fast Food",74,3.8
192,Cannon Brewpub,Montgomery,"Pizza, Desserts",21,3.9
193,Fuji Japanese Steak House,Belleville,"Bakery, Indian, Cafe",70,3.9
194,Ruth Ann's Family Restaurant,Watertown,"Tea, Pizza, Desserts, Italian",22,3.7
195,Samurai Japanese Cuisine & Sushi Bar,Durango,"Bakery, Desserts, Fast Food",67,3.6
196,Wasabi Sushi and Thai,Peoria,"Tea, Italian, BBQ, Fast Food, Seafood",72,3.7
197,Buckhead Bar and Grill,Dodge City,"Tea, Seafood",79,4.2
198,Burt's Butcher Shoppe and Eatery,Islip,"Desserts, Italian, BBQ, Fast Food, American, Seafood",65,4.3
199,Chef Lee's Peking Restaurant,Grand Rapids,"Cafe, Indian, Desserts, Seafood",60,4.0
200,Country's Barbecue,Savannah,"Cafe, Bakery",59,4.0
201,Deorio's,Pocatello,"Tea, Bakery, Fast Food, Mediterranean, Seafood",59,4.0
202,Mellow Mushroom,Burbank,"Tea, Pizza, Mexican, Fast Food, Cafe, American",69,4.1
203,Meritage,Manhattan,"Desserts, French, Bakery, Fast Food, Seafood",43,4.1
204,Mongo The Mongolian Fire Pit,Binghamton,"Tea, Mexican, Pizza",38,4.2
205,The Black Cow,Dothan,"Tea, French, Fast Food, American, Seafood",59,4.3
206,Wood Stone,Raleigh,"Cafe, Pizza, Indian",55,4.0
207,Hunter's Pub,Baton Rouge,"Tea, Bakery, BBQ",47,4.4
208,Consort Restaurant,Tucson,"Bakery, Pizza, Indian, Desserts",54,3.0
209,Thatcher's Barbeque and Grill,Albuquerque,"Seafood, BBQ, Desserts, Fast Food",30,3.7
210,Christian and Jake's Bistro,San Juan,"Tea, French, Bakery, Fast Food, Indian",59,4.4
211,Dub's High on the Hog,Durango,"Tea, Italian, French, Cafe, Seafood",98,4.4
212,Sierra's Mexican Restaurant,Owensboro,"Bakery, Pizza, Indian, BBQ",49,3.9
213,Oakwood Cafe,Ponce,"Bakery, BBQ, Desserts, Seafood",42,4.9
214,Chili's Grill & Bar,Las Vegas,"Pizza, Mexican, Bakery, Fast Food, Cafe",71,3.8
215,Fuji Japanese Steakhouse,Orlando,"Tea, Bakery, Desserts",75,3.8
216,Las Palmas,Hagerstown,"Tea, French, Pizza",84,3.8
217,Tony's Italian Restaurant & Pizza,Lansing,"Tea, Pizza, Indian, BBQ, American",83,3.7
218,Filling Station,Charleston,"Desserts, Tea, Italian, French, Cafe",78,4.1
219,Five Guys Burgers and Fries,Nome,"Desserts, Cafe, BBQ, Chinese, Indian, Seafood",43,4.1
220,Los Pablos,Baltimore,"Indian, BBQ, Cafe, American, Seafood",47,4.1
221,Kobe Hibachi & Sushi,Tampa,"Desserts, French, BBQ, Bakery, Seafood",63,4.6
222,Soho Hibachi,Hyannis,"Tea, Seafood, Pizza, Fast Food",12,4.3
223,Thai Garden,Abilene,"Cafe, American, Desserts",13,4.2
224,Southern Bliss Bakery,Detroit,"Tea, BBQ, Desserts, Seafood",28,3.7
225,Bailey's Bar-B-Que,Pensacola,"Tea, Bakery, Mediterranean",13,4.1
226,Farm To Fork,Provo,"Cafe, Bakery, Fast Food, Chinese, American, Seafood",57,4.3
227,Home Plate Grill,Dothan,"Tea, French, BBQ, Desserts",58,4.2
228,Pie Slingers Pizzeria,Beaumont,"Pizza, Mexican, BBQ, Fast Food, Cafe, American",16,4.1
229,Olive Tree Cafe,Charlotte,"Tea, Chinese, Desserts",23,4.6
230,"Red Ginger Sushi, Grill & Bar",Philadelphia,"Tea, Cafe, Indian, Fast Food",98,4.5
231,Crust Stone Oven Pizza,Memphis,"Tea, Pizza, BBQ",73,3.9
232,Jimmy's Pancake House,New Orleans,"Pizza, Indian, Desserts",50,4.0
233,Trattoria Tiramisu,Dothan,"Tea, French, BBQ, Desserts",23,4.1
234,Prairie Grille at SteepleGate Inn,Bangor,"Bakery, Fast Food, Cafe, Indian, Mediterranean",100,3.4
235,Tantra Asian Bistro,Montgomery,"Cafe, Fast Food",48,4.9
236,Chick-fil-A,Brainerd,"Tea, Pizza, Seafood",86,3.9
237,Duck City Bistro,Owensboro,"Cafe, Bakery",35,3.7
238,Frick's Tap,Bakersfield,"Tea, Bakery, Pizza",19,0.0
239,Los Agaves,Elmira,"Italian, Fast Food, Cafe, American, Seafood",75,0.0
240,Azteca,Wilmington,"Cafe, Indian, BBQ",56,4.3
241,China Cafe,Punta Gorda,"Desserts, Bakery, Cafe, Mediterranean, Seafood",69,4.0
242,Exotic Thai Restaurant,Grand Rapids,"Tea, Pizza, French, Bakery, Cafe, Indian",49,4.1
243,Front Street Brewery,Lansing,"BBQ, Mediterranean, Desserts, Italian",25,4.3
244,Granite City Food & Brewery,Yuma,"Fast Food, Seafood, Bakery, Italian",63,4.0
245,Los Agaves,State College,"French, BBQ, Cafe",39,4.1
246,Machine Shed Restaurant,Escanaba,"Tea, Bakery, Seafood",82,4.1
247,Osaka,Portland,"Desserts, Tea, Pizza, BBQ, Chinese",42,4.2
248,Texas Roadhouse,Brunswick,"Desserts, Tea, Pizza, American, Mediterranean, Seafood",22,4.2
249,Hickory Park,Fort Lauderdale,"Desserts, Mexican, Fast Food, Cafe, Seafood",12,4.5
250,The Cafe,Minneapolis,"Indian, Mediterranean, Desserts, Seafood",14,4.9
251,Flying Mango,Rockford,"American, BBQ, Seafood",20,4.5
252,Cool Basil,Milwaukee,"Chinese, Pizza, French, Fast Food, Cafe",40,4.1
253,HuHot Mongolian Grill,Del Rio,"Cafe, Bakery, BBQ, Fast Food",71,4.0
254,Malo,Minneapolis,"Tea, Chinese, Indian, Cafe",80,3.2
255,Centro,Bishop,"Tea, Indian, BBQ, Fast Food",44,4.5
256,Fong's Pizza,Minot,"Desserts, Pizza, French, BBQ, Fast Food",24,4.6
257,A Dong Restaurant,Detroit,"Tea, Cafe, Pizza",40,4.4
258,Court Avenue Brewing Company,Minneapolis,"Pizza, French, Bakery, BBQ, Seafood",31,4.2
259,Django,Kalamazoo,"Mediterranean, Desserts, Fast Food",65,4.3
260,Miyabi 9,Cody,"BBQ, Desserts, Italian",37,4.8
261,Zombie Burger + Drink Lab,Walla Walla,"Indian, Desserts, Seafood",67,4.2
262,Tursi's Latin King,Baton Rouge,"Tea, BBQ, Desserts",35,4.1
263,Tsing Tsao South,Long Beach,"Tea, Cafe, BBQ",56,4.1
264,Bandit Burrito,Wilmington,"Desserts, French, Bakery, Fast Food, Seafood",26,4.0
265,Jethro's BBQ,Staunton,"Pizza, French, Bakery, Fast Food, Seafood",32,4.3
266,The Machine Shed Restaurant,Gainesville,"Pizza, Mexican, Bakery, Fast Food, Indian, Seafood",62,3.8
267,Mi Patria,Branson,"Pizza, Bakery",87,4.0
268,Waterfront Seafood Market,New Bern,"Tea, BBQ, Bakery, Desserts",36,4.2
269,The Giggling Goat,Raleigh,"Tea, Seafood, Mediterranean, Fast Food",56,3.6
270,Burnt Toast Cafe,Cheyenne,"Cafe, Pizza, Bakery, Italian",53,3.4
271,Catfish Charlie's,Myrtle Beach,"Tea, Chinese, Desserts",14,3.3
272,Salsa's Mexican Restaurant,State College,"Tea, BBQ, Fast Food",52,3.4
273,Tony Roma's,Niagara Falls,"Desserts, Tea, French, Fast Food, Cafe, Mediterranean",47,3.3
274,Vinny Vanucchi's,Augusta,"Desserts, Fast Food, Chinese, Indian, Seafood",45,3.4
275,Champps Americana,Memphis,"Tea, Pizza, Bakery, Seafood",12,3.5
276,Fiesta Cancun,West Palm Beach,"Tea, Pizza, Desserts, Italian",27,3.6
277,Happy Joe's Pizza & Ice Cream,Gunnison,"Desserts, Italian, Bakery, Indian, Seafood",74,3.5
278,Houlihan's,Kahului,"Desserts, Tea, Bakery, Cafe, American, Mediterranean",84,3.6
279,Ichiban Hibachi Steakhouse & Sushi Bar,Hattiesburg,"Cafe, Bakery, Pizza, Desserts",25,3.7
280,Kalmes Breaktime Bar & Grill,Fort Smith,"Bakery, Indian, Fast Food",23,3.6
281,L. May Eatery,Midland,"Cafe, Pizza, American, BBQ",71,3.8
282,Los Aztecas,Washington,"Cafe, Bakery, BBQ, Fast Food",46,3.5
283,Manna Java World Cafe,Washington,"Cafe, Seafood",59,3.5
284,Mario's Italian Restaurant,Trenton,"Desserts, Tea, Mexican, Bakery, Cafe, Indian",13,3.6
285,Pepper Sprout Incorporated,Vernal,"Bakery, American, Cafe",62,3.6
286,Shot Tower Inn,Mason City,"Bakery, Seafood",99,3.6
287,Sunshine Family Restaurant,Norfolk,"Tea, American, Desserts, Italian",95,3.5
288,Watershed Cafe,Pensacola,"Chinese, BBQ, Desserts",12,3.7
289,Woodfire Grille,Elmira,"Pizza, Italian, BBQ, Mediterranean, Seafood",35,3.6
290,The Belle General,Florence,"French, Desserts, Fast Food",39,4.1
291,Jehova es Mi Pastor Tacos y Burritos,Christiansted,"Tea, Mediterranean, Fast Food",41,3.7
292,Flaxton Gardens,Waterloo,"Pizza, Desserts, Italian",37,3.5
293,Bespoke Harvest,Daytona Beach,"Cafe, BBQ, Fast Food",56,3.7
294,Houndstooth Grill & Tavern,Palm Springs,"Tea, Pizza, BBQ, Mediterranean",47,4.4
295,Hawg Wild BBQ & Catfish House,Kodiak,"Bakery, Mediterranean, Fast Food",72,4.1
296,Bourbon Street Grille,Santa Fe,"Bakery, Fast Food, Cafe, Mediterranean, Seafood",37,3.8
297,Corkscrew Cafe,Bend,"Tea, Bakery, Fast Food",81,3.9
298,Smokin Gold BBQ,Pago Pago,"Tea, Bakery, American, Seafood",42,3.9
299,Hoka-Hoka Japanese Steak & Sushi,San Juan,"Tea, French, American, Cafe",27,4.4
300,Shenanigan's Irish Pub,New Orleans,"Tea, Chinese, Bakery, Desserts",43,4.1
301,Fish Tales Lakeside Grille,Augusta,"Tea, Cafe, Bakery, Desserts",37,3.8
302,Antebellum,Kansas City,"Tea, Bakery",50,4.3
303,Moonie's Texas Barbecue,Wilmington,"Chinese, Bakery, Fast Food",38,4.1
304,Atlanta Highway Seafood Market,Alamosa,"Fast Food, Desserts, Seafood",68,4.9
305,Eat at Thai,Saipan,"Desserts, Tea, Bakery, Cafe, American",34,4.6
306,Smoke House BBQ and Catering,Islip,"Tea, Indian, Desserts, Fast Food",14,3.8
307,2 Dog,Grand Junction,"Desserts, BBQ, Fast Food, Cafe, American",29,4.2
308,Longstreet Cafe,Shreveport,"Desserts, BBQ, Fast Food, Cafe, American",63,4.3
309,Re-Cess,Owensboro,"Desserts, Pizza, BBQ, Chinese, Seafood",37,4.2
310,Bodensee,Killeen,"Desserts, Tea, Bakery, Cafe, American",20,3.8
311,Hofer's Bakery & Cafe,Gustavus,"Mexican, Bakery, BBQ, Fast Food, Cafe, American",34,3.9
312,Troll Tavern,Minneapolis,"Tea, BBQ, Mediterranean",71,2.2
