Name,Latitude,Longitude,Address,Phone,Website,City
Douglas Lake trail,45.55574959999999,-84.6870143,"8100-8998 County Rd 64, Pellston, MI 49769, USA",Unknown,Unknown,Pellston
"Mystery Town, USA",45.7794809,-84.73282689999999,"200 S Nicolet St, Mackinaw City, MI 49701, USA",(231) 427-7030,http://www.mysterytownusa.com/,Pellston
BlissFest,45.6219378,-84.9881022,"3695 Division Rd, Harbor Springs, MI 49740, USA",Unknown,https://blissfest.org/,Pellston
Sunset Park,45.3794398,-84.95207189999999,"101 E Lake St, Petoskey, MI 49770, USA",(231) 347-2500,http://www.petoskey.us,Pellston
The Buffalo Zoo,42.9371231,-78.85160909999999,"300 Parkside Ave, Buffalo, NY 14214, USA",(716) 837-3900,http://www.buffalozoo.org/,Buffalo
Buffalo and Erie County Botanical Gardens,42.827864,-78.823995,"2655 South Park Ave, Buffalo, NY 14218, USA",(716) 827-1584,https://www.buffalogardens.com/,Buffalo
Buffalo AKG Art Museum,42.93245,-78.875618,"1285 Elmwood Ave, Buffalo, NY 14222, USA",(716) 882-8700,https://buffaloakg.org/,Buffalo
Canalside,42.8769278,-78.8793944,"44 Prime St, Buffalo, NY 14202, USA",Unknown,http://www.buffalowaterfront.com/,Buffalo
Theodore Roosevelt Inaugural National Historic Site,42.9014678,-78.8724841,"641 Delaware Ave, Buffalo, NY 14202, USA",(716) 884-0095,http://trsite.org/,Buffalo
Buffalo Naval Park,42.8774855,-78.8795859,"1 Naval, Marina Park S, Buffalo, NY 14202, USA",(716) 847-1773,http://buffalonavalpark.org/,Buffalo
Buffalo Museum of Science,42.9061321,-78.8436047,"1020 Humboldt Pkwy, Buffalo, NY 14211, USA",(716) 896-5200,https://www.sciencebuff.org/,Buffalo
Delaware Park,42.9326617,-78.8527295,"84 Parkside Ave, Buffalo, NY 14214, USA",(716) 838-1249,http://www.bfloparks.org/index.php/parks/delaware,Buffalo
Lafayette Square,42.8856691,-78.87384829999999,"415 Main St, Buffalo, NY 14203, USA",(716) 851-5553,Unknown,Buffalo
Frank Lloyd Wright's Martin House,42.9362328,-78.84799,"125 Jewett Pkwy, Buffalo, NY 14214, USA",(716) 856-3858,https://martinhouse.org/,Buffalo
Buffalo Harbor State Park,42.8510464,-78.8645251,"1111 Fuhrmann Boulevard, Buffalo, NY 14203, USA",(716) 822-1207,https://parks.ny.gov/parks/buffaloharbor/details.aspx,Buffalo
Buffalo Bricks,42.87419309999999,-78.8776256,"Main St, Buffalo, NY 14204, USA",(716) 854-2314,http://www.workingfordowntown.org/,Buffalo
Buffalo Heritage Carousel,42.87554550000001,-78.87837309999999,"44 Prime St, Buffalo, NY 14202, USA",(716) 493-2110,https://www.buffaloheritagecarousel.org/,Buffalo
Michigan Street African American,42.8868801,-78.86809679999999,"Michigan Ave, Buffalo, NY 14203, USA",(716) 322-1002,http://www.michiganstreetbuffalo.org/,Buffalo
Tifft Nature Preserve,42.8461684,-78.85945939999999,"1200 Fuhrmann Boulevard, Buffalo, NY 14203, USA",(716) 825-6397,https://www.tifft.org/,Buffalo
Iron Island Museum,42.8900415,-78.8114399,"998 E Lovejoy St, Buffalo, NY 14206, USA",(716) 892-3084,http://www.ironislandmuseum.com/,Buffalo
The Electric Tower,42.88868,-78.8721146,"535 Washington St, Buffalo, NY 14203, USA",(716) 633-2096,http://www.electrictower.com/,Buffalo
Buffalo Main Light,42.8778401,-78.8894968,"1 Fuhrmann Boulevard, Buffalo, NY 14203, USA",(716) 264-1707,https://www.facebook.com/Buffalo-Lighthouse-245535252134529/,Buffalo
The Buffalo History Museum,42.9354287,-78.8762911,"1 Museum Ct, Buffalo, NY 14216, USA",(716) 873-9644,http://www.buffalohistory.org/,Buffalo
Buffalo City Hall,42.8866194,-78.879325,"65 Niagara Square, Buffalo, NY 14202, USA",(716) 851-4890,http://www.buffalony.gov/,Buffalo
Fort Christian,18.3405796,-64.9297139,"St. Thomas, Forts Straede, Charlotte Amalie, St Thomas 00802, USVI",(340) 714-3678,http://www.nps.gov/nr/travel/prvi/pr29.htm,Charlotte Amalie
Charlotte Amalie Overlook,18.3503167,-64.92421430000002,"932G+48F, Hospital Ground, St Thomas 00802, USVI",Unknown,Unknown,Charlotte Amalie
Skyride to Paradise Point,18.3338809,-64.9186206,"9617 Estate Thomas Charlotte Amalie, Estate Thomas, St Thomas 00802, USVI",(340) 774-9809,https://www.paradisepointvi.com/,Charlotte Amalie
99 Steps,18.3424668,-64.9301286,"St Thomas, Charlotte Amalie, St Thomas 00801, USVI",Unknown,Unknown,Charlotte Amalie
French Heritage Museum,18.3375442,-64.9415468,"83Q5+298, St Thomas, 00802, USVI",(340) 714-2583,https://www.frenchheritagemuseumvi.org/,Charlotte Amalie
Pirates Treasure Museum,18.3335829,-64.918717,"17-1 Estate Thomas St. Thomas Virgin Islands VI, Estate Thomas, St Thomas 00802, USVI",(340) 775-9575,https://piratemuseumstthomas.com/,Charlotte Amalie
St Thomas Historical Trust Museum,18.3407882,-64.932093,"St. Thomas, 5332 Raadets Gade, Charlotte Amalie, St Thomas 00804, USVI",(340) 774-5541,http://stthomashistoricaltrust.org/,Charlotte Amalie
Three Queens Statue,18.3433907,-64.9296461,"83VC+945 St Thomas, Dronningens Gade East, Charlotte Amalie, St Thomas 00802, USVI",(340) 775-1444,https://www.visitusvi.com/,Charlotte Amalie
Charlotte Amalie Historic District,18.3421059,-64.9307583,"St. Thomas, Tolbod Pldn, Charlotte Amalie, St Thomas 00802, USVI",Unknown,Unknown,Charlotte Amalie
Emancipation Garden,18.3411557,-64.93034349999999,"83R9+FV7, ST THOMAS, St Thomas 00803, USVI",Unknown,Unknown,Charlotte Amalie
Drake's Seat,18.35283,-64.9271286,"933F+44Q, Rte 37, St. Thomas, St Thomas 00802, USVI",Unknown,http://www.vinow.com/stt/stt-a/general/drakes-seat/,Charlotte Amalie
Statue of President Franklin D. Roosevelt,18.3418023,-64.9280383,"43-46 Norre Gade, Charlotte Amalie, St Thomas 00802, USVI",Unknown,Unknown,Charlotte Amalie
Cruise Ship Excursions,18.3315209,-64.9210614,"Suite 315 Building 3 Havensight Mall U.S., Charlotte Amalie, St Thomas 00802, USVI",(340) 775-5055,https://stthomascruiseexcursions.com/excursions/kayak-snorkeling-eco-tour/,Charlotte Amalie
The Virgin Islands Children's Museum,18.3334418,-64.9189184,"Buccaneer Mall, Rte 30, St. Thomas, St Thomas 00802, USVI",(340) 643-0366,http://www.vichildrensmuseum.org/,Charlotte Amalie
Coral World Ocean Park,18.349389,-64.86359999999999,"6450 Coki Point, St Thomas, Virgin Islands 00802, USVI",(340) 775-1555,http://www.coralworldvi.com/,Charlotte Amalie
Paradise Point Lookout,18.3308453,-64.9141867,"83JP+88P, Estate Thomas, St Thomas 00802, USVI",Unknown,Unknown,Charlotte Amalie
The Little Mermaid Statue,18.3323283,-64.9213695,"83JH+WFJ, Estate Thomas, St Thomas 00802, USVI",Unknown,https://mermaidsofearth.com/mermaid-statues-mermaid-sculptures/public/the-little-mermaid-statue-in-charlotte-amalie,Charlotte Amalie
Tree of Lost Soles,18.31788,-64.9516711,"St Thomas, Charlotte Amalie West, St Thomas 00802, USVI",Unknown,Unknown,Charlotte Amalie
Tree Limin' Extreme Zipline St. Thomas,18.3598589,-64.94600489999999,"7406 St Peter Mountain Rd, Saint Peter, St Thomas 00802, USVI",(340) 777-9477,http://www.ziplinestthomas.com/,Charlotte Amalie
Hebrew Congregation of St. Thomas,18.3426338,-64.93267759999999,"St Thomas, 2116 Krystal St, Charlotte Amalie, St Thomas 00802, USVI",(340) 774-4312,http://synagogue.vi/,Charlotte Amalie
Riordan Mansion State Historic Park,35.1877188,-111.6582426,"409 W Riordan Rd, Flagstaff, AZ 86001, USA",(928) 779-4395,https://azstateparks.com/riordan-mansion/,Flagstaff
Lowell Observatory,35.2028951,-111.6646428,"1400 W Mars Hill Rd, Flagstaff, AZ 86001, USA",(928) 774-3358,https://lowell.edu/welcomeback,Flagstaff
Museum of Northern Arizona,35.234499,-111.66562,"3101 N Fort Valley Rd, Flagstaff, AZ 86001, USA",(928) 774-5213,https://musnaz.org/,Flagstaff
Downtown Flagstaff,35.1987337,-111.6483259,"6 E Aspen Ave # 200, Flagstaff, AZ 86001, USA",(928) 275-2655,https://downtownflagstaff.org/,Flagstaff
Buffalo Park,35.2185163,-111.6329976,"2400 N Gemini Rd, Flagstaff, AZ 86004, USA",(928) 213-2300,https://www.flagstaff.az.gov/1923/City-Parks-Ramadas,Flagstaff
Flagstaff Area National Monuments,35.239009,-111.570669,"6400 US-89, Flagstaff, AZ 86004, USA",(928) 526-1157,https://www.nps.gov/waca/learn/management/flag_parks.htm,Flagstaff
The Arboretum at Flagstaff,35.1599444,-111.7318828,"4001 S Woody Mountain Rd, Flagstaff, AZ 86005, USA",(928) 774-1442,http://www.thearb.org/,Flagstaff
Picture Canyon Natural and Cultural Preserve,35.2306208,-111.5499975,"3920 N El Paso Flagstaff Rd, Flagstaff, AZ 86004, USA",(928) 213-2154,https://www.flagstaff.az.gov/2881/Picture-Canyon-Natural-Cultural-Preserve,Flagstaff
Wheeler Park,35.1999797,-111.6511748,"212 W Aspen Ave, Flagstaff, AZ 86001, USA",(928) 213-2300,http://www.flagstaff.az.gov/index.aspx?NID=1923,Flagstaff
Mountain lion sculpture,35.1858928,-111.6593893,"1520 S Riordan Ranch St, Flagstaff, AZ 86001, USA",Unknown,Unknown,Flagstaff
Flagstaff Visitor Center,35.1973546,-111.649203,"1 E Rte 66, Flagstaff, AZ 86001, USA",(928) 213-2951,http://www.flagstaffarizona.org/,Flagstaff
Bushmaster Park,35.2170284,-111.602725,"3150 N Alta Vista Dr, Flagstaff, AZ 86004, USA",(928) 779-7960,http://flagstaff.az.gov/,Flagstaff
Arizona Snowbowl,35.33071089999999,-111.7058368,"9300 N Snow Bowl Rd, Flagstaff, AZ 86001, USA",(928) 447-9928,http://www.snowbowl.ski/,Flagstaff
Flagstaff Community Labyrinth,35.187569,-111.6452524,"136 E Paseo del Rio, Flagstaff, AZ 86001, USA",Unknown,http://flagstafflabyrinth.com/,Flagstaff
Wupatki National Monument,35.5599835,-111.3935271,"Flagstaff, AZ 86004, USA",(928) 679-2365,https://www.nps.gov/wupa/index.htm,Flagstaff
Fort Tuthill Military History Museum,35.14125010000001,-111.6927984,"2446 Ft Tuthill Lp, Flagstaff, AZ 86001, USA",(928) 226-0965,http://www.forttuthill.org/,Flagstaff
Fatman's Loop Trail,35.23007639999999,-111.5792996,"5098 US-89, Flagstaff, AZ 86004, USA",Unknown,https://www.fs.usda.gov/recarea/coconino/recarea/?recid=55094,Flagstaff
Flagstaff Extreme Adventure Course,35.1427566,-111.6930081,"Fort Tuthill County Park, 2446 Ft Tuthill Lp, Flagstaff, AZ 86005, USA",(888) 259-0125,http://www.flagstaffextreme.com/,Flagstaff
Lava River Cave,35.342426,-111.836323,"171B Forest Rd, Flagstaff, AZ 86001, USA",(928) 526-0866,http://www.fs.usda.gov/recarea/coconino/recarea/?recid=55122,Flagstaff
Pioneer Museum--Arizona Historical Society,35.223814,-111.655126,"2340 N Fort Valley Rd, Flagstaff, AZ 86001, USA",(928) 774-6272,https://arizonahistoricalsociety.org/museum/pioneer-museum/,Flagstaff
Mesker Park Zoo,37.99685230000001,-87.6059008,"1545 Mesker Park Dr, Evansville, IN 47720, USA",(812) 435-6143,http://www.meskerparkzoo.com/,Evansville
Children's Museum of Evansville,37.97161699999999,-87.56926399999999,"22 SE 5th St, Evansville, IN 47708, USA",(812) 643-2663,http://www.cmoekids.org/,Evansville
Burdette Park,37.942692,-87.64021029999999,"5301 Nurrenbern Rd, Evansville, IN 47712, USA",(812) 435-5602,http://www.burdettepark.org/,Evansville
Evansville African American Museum,37.9705531,-87.5567485,"579 S Garvin St, Evansville, IN 47713, USA",(812) 423-5188,https://www.evvaam.org/,Evansville
Garvin Park,37.9943957,-87.56379129999999,"Evansville, IN 47710, USA",(812) 435-6141,https://www.visitevansville.com/attractions/garvin-park,Evansville
Evansville Museum,37.9650887,-87.57284109999999,"411 SE Riverside Dr, Evansville, IN 47713, USA",(812) 425-2406,https://evansvillemuseum.org/,Evansville
Reitz Home Museum,37.9678221,-87.5719714,"112 Chestnut St, Evansville, IN 47713, USA",(812) 426-1871,http://www.reitzhome.com/,Evansville
USS LST-325,37.9729601,-87.58019879999999,"610 NW Riverside Dr, Evansville, IN 47708, USA",(812) 435-8678,http://www.lstmemorial.org/,Evansville
Evansville Wartime Museum,38.04158400000001,-87.53729,"7503 Petersburg Rd, Evansville, IN 47725, USA",(812) 424-7461,http://evansvillewartimemuseum.org/,Evansville
Angel Mounds State Historic Site,37.94518589999999,-87.4518865,"8215 Pollack Ave, Evansville, IN 47715, USA",(812) 853-3956,https://www.indianamuseum.org/angel-mounds-state-historic-site,Evansville
Howell Wetlands,37.9616589,-87.6184237,"1400 S Tekoppel Ave, Evansville, IN 47712, USA",(812) 479-0771,https://wesselmanwoods.org/howellwetlands,Evansville
Mickey's Kingdom Park,37.96296460000001,-87.5727648,"Downtown, Riverfront, Evansville, IN 47713, USA",(812) 435-6141,Unknown,Evansville
Four Freedoms Monument,37.9670642,-87.5741974,"201 SE Riverside Dr, Evansville, IN 47713, USA",Unknown,Unknown,Evansville
Howell Park,37.9648181,-87.6103175,"1101 S Barker Ave, Evansville, IN 47712, USA",(812) 435-6141,Unknown,Evansville
Chandelier Tree,37.970539,-87.57361,"130 Main St, Evansville, IN 47708, USA",(812) 492-4536,http://downtownevansville.com/,Evansville
Wesselman Woods,37.9828856,-87.516741,"551 N Boeke Rd, Evansville, IN 47711, USA",(812) 479-0771,http://www.wesselmanwoods.org/,Evansville
Self.e Alley (Evansville Mural Art),37.9714073,-87.5716813,"318 Main St, Evansville, IN 47708, USA",Unknown,https://self-e-alley.business.site/?utm_source=gmb&utm_medium=referral,Evansville
Diamond Valley Park,38.0040517,-87.5793386,"1100 Fulton Pkwy, Evansville, IN 47710, USA",(812) 435-6141,http://www.vanderburghgov.org/egov/apps/locations/facilities.egov?view=detail&id=79,Evansville
Game Room Alley,37.9711986,-87.57145320000001,"317 Main St, Evansville, IN 47711, USA",(812) 492-4536,Unknown,Evansville
Cascade,37.96026869999999,-87.57259850000001,"1200 Waterworks Rd, Evansville, IN 47713, USA",Unknown,Unknown,Evansville
Panaewa Rainforest Zoo and Gardens,19.6542357,-155.0727822,"800 Stainback Hwy, Hilo, HI 96720, USA",(808) 959-7224,http://hilozoo.org/,Hilo
Lyman Museum,19.7221983,-155.0906609,"276 Haili St, Hilo, HI 96720, USA",(808) 935-5021,http://www.lymanmuseum.org/,Hilo
Mokupāpapa Discovery Center,19.7267489,-155.0870462,"76 Kamehameha Ave, Hilo, HI 96720, USA",(808) 498-4709,http://www.papahanaumokuakea.gov/education/center.html,Hilo
Richardson Ocean Park,19.735784,-155.013314,"2355 Kalanianaole St, Hilo, HI 96720, USA",(808) 961-8688,https://hawaiibeachsafety.com/big-island/richardson-ocean-park,Hilo
Liliʻuokalani Gardens,19.726372,-155.068079,"189 Lihiwai St #151, Hilo, HI 96720, USA",Unknown,Unknown,Hilo
Wailoa River State Recreation Area,19.7164465,-155.0730805,"799 Piilani St, Hilo, HI 96720, USA",(808) 961-9540,http://dlnr.hawaii.gov/dsp/parks/hawaii/wailoa-river-state-recreation-area/,Hilo
Imiloa Astronomy Center,19.7011173,-155.0886773,"600 Imiloa Pl, Hilo, HI 96720, USA",(808) 932-8901,http://www.imiloahawaii.org/,Hilo
Pacific Tsunami Museum,19.7259466,-155.0866304,"130 Kamehameha Ave, Hilo, HI 96720, USA",(808) 935-0926,http://www.tsunami.org/,Hilo
Wailuku River State Park,19.7187242,-155.1085773,"2-198 Rainbow Dr, Hilo, HI 96720, USA",(808) 961-9540,http://dlnr.hawaii.gov/dsp/parks/hawaii/wailuku-river-state-park/,Hilo
Rainbow Falls,19.7187908,-155.1085958,"Hilo, HI 96720, USA",Unknown,https://dlnr.hawaii.gov/dsp/parks/hawaii/wailuku-river-state-park/,Hilo
Gilbert Carvalho Park,19.71847379999999,-155.1043089,"850 Waianuenue Ave, Hilo, HI 96720, USA",(808) 961-8737,http://www.hawaiicounty.gov/,Hilo
Reeds Bay Beach Park,19.7264295,-155.0631119,"225 Banyan Dr, Hilo, HI 96720, USA",(808) 961-8311,Unknown,Hilo
Kamehameha The Great,19.7209657,-155.076765,"774 Kamehameha Ave, Hilo, HI 96720, USA",Unknown,https://dlnr.hawaii.gov/dsp/parks/hawaii/wailoa-river-state-recreation-area/,Hilo
Boiling Pots,19.71498189999999,-155.1312219,"1766 Wailuku Dr, Hilo, HI 96720, USA",Unknown,http://dlnr.hawaii.gov/dsp/parks/hawaii/wailuku-river-state-park/,Hilo
Kuhio Kalanianaole Park,19.7249023,-155.0608665,"Kalanianaole St, Hilo, HI 96720, USA",(808) 961-8311,Unknown,Hilo
Leleiwi Beach Park (Wai’uli),19.734024,-155.0162401,"2246 Kalanianaole St, Hilo, HI 96720, USA",Unknown,Unknown,Hilo
Moku Ola / Coconut Island,19.7294599,-155.068554,"77 Keliipio Pl, Hilo, HI 96720, USA",(808) 961-8311,http://www.hawaiicounty.gov/parks-and-recreation/,Hilo
Keaukaha Beach Park,19.7318433,-155.0461397,"27 Apapane Rd, Hilo, HI 96720, USA",(808) 961-8311,Unknown,Hilo
Lehia Beach Park,19.7347014,-155.0080829,"2499 Kalanianaole St, Hilo, HI 96720, USA",(808) 961-8311,https://lookintohawaii.com/hawaii/32700/lehia-beach-park-beach-big-island-hilo-hi,Hilo
Out-Lau Island Tours,19.7245545,-155.0845267,"Hilo, HI 96720, USA",Unknown,Unknown,Hilo
Snake River Canyon Rim Trail,42.59907399999999,-114.4792939,"Washington St N, Twin Falls, ID 83301, USA",(208) 736-2265,http://www.visitidaho.org/attraction/outdoor-recreation/snake-river-canyon-rim-trails/,Twin Falls
Twin Falls City Park,42.5581708,-114.4659443,"400 Shoshone St E, Twin Falls, ID 83301, USA",(208) 736-2265,https://www.tfid.org/facilities/facility/details/City-Park-10,Twin Falls
Evel Knievel Snake River Canyon Jump Site,42.5970726,-114.4228668,"Twin Falls, ID 83301, USA",Unknown,Unknown,Twin Falls
Herrett Center,42.58422299999999,-114.470397,"315 Falls Ave, Twin Falls, ID 83301, USA",(208) 732-6655,http://herrett.csi.edu,Twin Falls
Dierkes Lake Park,42.594477,-114.3901839,"HJV5+GX3, Twin Falls, ID 83301, USA",(208) 736-2265,http://www.tfid.org/facilities.aspx?search=1&CID=2&RID=13&Page=detail,Twin Falls
Shoshone Falls Park,42.5937,-114.401,"4155 Shoshone Falls Grade, Twin Falls, ID 83301, USA",(208) 736-2265,http://www.tfid.org/index.aspx?NID=309,Twin Falls
Rock Creek Park,42.56746279999999,-114.503585,"Twin Falls, ID 83301, USA",(208) 734-9491,https://www.tfid.org/Facilities/Facility/Details/Rock-Creek-Canyon-Parkway-25,Twin Falls
Centennial Waterfront Park,42.5995599,-114.4685312,"Canyon Springs Rd, Twin Falls, ID 83301, USA",(208) 734-9491,Unknown,Twin Falls
Bridge View Point,42.5980236,-114.4525231,"2082 Bridgeview Blvd, Twin Falls, ID 83301, USA",Unknown,Unknown,Twin Falls
Harmon Park,42.5544243,-114.4526504,"Twin Falls, ID 83301, USA",(208) 544-1943,http://www.tfid.org/,Twin Falls
Mary Alice Park,42.5592706,-114.4742345,"436 Main Ave W, Twin Falls, ID 83301, USA",(208) 421-1311,http://www.maryalicepark.org/,Twin Falls
Pillar Falls Scenic Overlook,42.596167,-114.445352,"1999 Pole Line Rd E, Twin Falls, ID 83301, USA",Unknown,Unknown,Twin Falls
Art Alley,42.5510486,-114.4761167,"113 Maxwell Ave, Twin Falls, ID 83301, USA",Unknown,Unknown,Twin Falls
Drury Park,42.5580901,-114.479779,"S Washington St & 4th Ave W, Twin Falls, ID 83301, USA",(208) 736-2265,Unknown,Twin Falls
Tandem Base,42.5986643,-114.4548057,"2015 Nielsen Point Pl Suite 200, Twin Falls, ID 83301, USA",(208) 546-9873,http://tandembase.com/,Twin Falls
Base jump the bridge,42.5983499,-114.4557012,"2015 Nielsen Point Pl, Twin Falls, ID 83301, USA",(865) 250-0666,http://basejumpthebridge.com/,Twin Falls
AWOL Adventure Sports At Centennial Park,42.60216339999999,-114.4709409,"Centennial Waterfront Park, Canyon Springs Rd, Twin Falls, ID 83301, USA",(208) 735-5344,http://www.awoladventuresports.com/,Twin Falls
Evel Knievel Jump Monument,42.5985385,-114.4546548,"Twin Falls, ID 83301, USA",(208) 733-3974,http://evelknievel.com/,Twin Falls
Snake River Canyons Park,42.6053377,-114.4327475,"Shoshone Falls Rd, Twin Falls, ID 83301, USA",Unknown,http://snakerivercanyonspark.com/,Twin Falls
Scenic View Perrine Coulee Waterfall,42.5971798,-114.471664,"Twin Falls, ID 83301, USA",Unknown,Unknown,Twin Falls
The Newark Museum of Art,40.7429427,-74.1714034,"49 Washington St, Newark, NJ 07102, USA",(973) 596-6550,http://www.newarkmuseumart.org/,Newark
Military Park,40.7391262,-74.1695195,"51 Park Pl, Newark, NJ 07102, USA",(973) 900-5800,Unknown,Newark
Branch Brook Park,40.759629,-74.1810895,"& Park Avenue, Lake St, Newark, NJ 07104, USA",(973) 268-3500,http://www.essexcountyparks.org/parks/branch-brook-park,Newark
Weequahic Park,40.70627169999999,-74.19728549999999,"Elizabeth Ave &, Meeker Ave, Newark, NJ 07112, USA",(973) 268-3500,http://www.essex-countynj.org/p/index.php?section=parks/sites/we#top,Newark
"Newark Riverfront Park, Orange Sticks",40.7331128,-74.1489969,"727 Raymond Blvd, Newark, NJ 07105, USA",Unknown,Unknown,Newark
