,NAME,room type,price,minimum nights,review rate number,house_rules,maximum occupancy,city
95,Welcome to YURT -- private room in East Village,Private room,229.0,7.0,4.0,No children under 10 & No smoking,2,Boston
96,Comfortable studio suite in midtown Manhattan,Entire home/apt,67.0,30.0,3.0,No parties & No smoking & No visitors,2,Alamosa
97,★INCREDIBLE LOCATION★HELLO TIMES SQ & CENTRAL PARK,Entire home/apt,511.0,2.0,2.0,,2,Bishop
98,Brooklyn Gem,Entire home/apt,877.0,2.0,4.0,No children under 10,4,Palm Springs
99,New Bedroom for ONE (1) Professional.,Private room,146.0,1.0,3.0,,2,Missoula
100,Great 3 Bedroom Apartment - Incredible Location,Entire home/apt,685.0,25.0,5.0,No parties & No children under 10,4,Fort Lauderdale
101,Cozy Studio in Heart of Ft Greene,Entire home/apt,200.0,4.0,5.0,No pets & No children under 10,3,Buffalo
102,"Living by the ocean, Brooklyn",Entire home/apt,588.0,7.0,5.0,,4,Everett
103,Luxury Home Near Brooklyn Bridge,Private room,84.0,1.0,5.0,No pets,2,Minot
104,Private Bedroom - King Size Bed,Private room,163.0,1.0,2.0,,2,Arcata
105,Cozy Brooklyn Nook,Private room,372.0,1.0,5.0,No pets & No smoking & No parties,2,College Station
106,Gorgeous natural light in Chelsea photo studio,Entire home/apt,1094.0,1.0,2.0,No pets,8,Charlottesville
107,Comfy King Bed Feet from Subway,Private room,568.0,3.0,5.0,No parties,1,Detroit
108,Ditmas Park Beauty,Entire home/apt,972.0,3.0,5.0,No smoking & No pets,3,Hilo
109,Private 3A Room in 4BR/2BA APT in Hell's Kitchen,Private room,967.0,1.0,5.0,No visitors & No pets,2,Ponce
110,NYC Apartment near Central Park!,Entire home/apt,1118.0,3.0,5.0,No children under 10,5,Grand Junction
111,DaDukes Dreams,Private room,491.0,1.0,2.0,No visitors,2,Bakersfield
112,"Beautiful, Clean, Private & Chic furnished Apt.",Entire home/apt,223.0,4.0,3.0,No smoking,2,Greer
113,"Waterfront, perfect NYC getaway!",Entire home/apt,607.0,2.0,4.0,No parties & No children under 10,6,Stockton
114,Onderdonk Hotel Studio,Private room,544.0,2.0,4.0,No visitors & No pets & No parties,1,Manchester
115,The hipster apartment in the hipster borough,Private room,320.0,4.0,3.0,No smoking,2,Punta Gorda
116,"Homey 1BR in Fun, Central West Village w/ Doorman by Blueground",Entire home/apt,262.0,30.0,4.0,No parties,2,Daytona Beach
117,Room in Huge 1200sf W Harlem Suite,Private room,764.0,3.0,3.0,No parties & No visitors,2,Montrose
118,"5min from JFK airport, Train, Casino,  Racetrack",Entire home/apt,489.0,2.0,4.0,,4,Sitka
119,SUNNY ROOM IN WILLIAMSBURG - 1 BLOCK TO METRO!!,Private room,880.0,2.0,2.0,No pets,1,Great Falls
120,Perfect Williamsburg room!,Private room,1080.0,14.0,5.0,No parties & No children under 10,2,Dothan
121,The Justice Tower 1,Private room,454.0,2.0,2.0,No smoking,2,Portsmouth
122,"Beautiful Double Room - Heart of Clinton Hill, BK",Private room,658.0,1.0,3.0,No smoking & No children under 10 & No parties,2,Baltimore
123,East Williamsburg/Bushwick Loft,Private room,694.0,1.0,5.0,No children under 10 & No parties,2,Muskegon
124,Sunny and Airy near Manhattan,Entire home/apt,499.0,2.0,5.0,No pets,4,Houston
125,"Cozy Park Slope Apt, Next to BBG",Entire home/apt,664.0,30.0,2.0,No children under 10,2,Sioux City
126,"Fabulous Large 1 Bed in Riverdale, Bronx NYC",Entire home/apt,246.0,14.0,1.0,No children under 10 & No visitors,3,Saipan
127,"Spacious, bright room, prime Williamsburg location",Private room,900.0,3.0,4.0,No visitors,2,Cincinnati
128,Bronx Roon,Private room,127.0,2.0,2.0,No visitors & No children under 10,2,Charleston
129,Luminous and Spacious Private Room,Private room,151.0,5.0,5.0,No children under 10,1,Santa Fe
130,Beautiful Loft in LES Manhattan!,Entire home/apt,484.0,3.0,5.0,No visitors & No smoking,2,Christiansted
131,Times Square River View,Private room,131.0,2.0,3.0,No parties,1,Sioux Falls
132,Bedstuy Cozy Room with Private Bathroom,Private room,1185.0,1.0,2.0,,1,Vernal
133,Heart of Soho! Cute studio with clean finishes!,Entire home/apt,969.0,4.0,4.0,No parties,2,Traverse City
134,Yankee baseball stay,Private room,911.0,1.0,5.0,No visitors,1,Buffalo
135,"Full 1-BR Apartment - Sunny, Cozy, and Eclectic!",Entire home/apt,522.0,4.0,3.0,No children under 10 & No smoking,2,Santa Ana
136,Comfort,Entire home/apt,151.0,2.0,4.0,No children under 10,2,North Bend
137,Cozy Brooklyn Room - Next to Pratt Institute,Private room,418.0,5.0,2.0,No smoking & No children under 10 & No pets,2,Myrtle Beach
138,Modern 1BR in Sutton Place by Sonder,Entire home/apt,384.0,29.0,3.0,No children under 10 & No smoking,2,Ogdensburg
139,East Village room with a view,Private room,1180.0,3.0,3.0,No smoking,1,Hilo
140,Comfortable sofa bed in chic apt,Shared room,1007.0,1.0,3.0,No children under 10 & No visitors,1,Anchorage
141,Spacious 1 Bedroom in Washington Heights,Entire home/apt,933.0,3.0,3.0,No smoking & No pets,3,Florence
142,"LES - Quiet, Comfy, and Large Private Bedroom",Private room,438.0,1.0,4.0,No visitors & No children under 10,1,Brownsville
143,Lower East Dream Room!,Private room,1155.0,2.0,2.0,,1,Rockford
144,Modern Clean beautiful 15min to center of NYC,Entire home/apt,274.0,2.0,5.0,No pets & No parties,3,St. Cloud
145,"Beautiful 1 bedroom apart, Washington Heights",Private room,69.0,7.0,2.0,No visitors,2,Louisville
146,"Spacious 1 Bedroom in Midwood, BK!",Private room,1125.0,1.0,1.0,No children under 10,1,Milwaukee
147,Luxury Upper West Side Studio,Entire home/apt,1136.0,30.0,3.0,No children under 10,3,Stillwater
148,Charming 1BR in UES Townhouse,Entire home/apt,1134.0,30.0,2.0,No smoking,4,State College
149,,Private room,543.0,4.0,1.0,No visitors & No smoking,1,Islip
150,Cozy Centrally Located Private Room in Bushwhick,Private room,147.0,2.0,1.0,No children under 10 & No smoking & No pets,2,Yuma
151,Rare gem of an apartment in NYC.  So Spacious!,Private room,918.0,3.0,5.0,No parties & No children under 10,1,Cleveland
152,Cozy Two-bedroom Apt in a Cute House in Brooklyn!,Private room,99.0,4.0,4.0,No children under 10,1,Miami
153,Accessible between Times Square & Central Park,Private room,1111.0,1.0,4.0,No smoking,1,Elmira
154,Private room in Upper Manhattan near City College.,Private room,62.0,8.0,2.0,No visitors & No children under 10 & No parties,2,Peoria
155,Jestina's Place: Private bedroom &  livingroom!,Private room,849.0,1.0,5.0,No visitors,1,Mason City
156,Spacious Private Space In Upper Manhattan,Private room,153.0,4.0,3.0,No pets,1,Waterloo
157,Beautiful new apartment located in Bushwick,Private room,683.0,7.0,3.0,No pets,2,College Station
158,Brand New Amazing 1 Bedroom Best Location,Entire home/apt,1168.0,30.0,5.0,No visitors & No children under 10 & No smoking,8,Lansing
159,Luxury Brownstone in Boerum Hill,Entire home/apt,744.0,3.0,2.0,No smoking,7,Mosinee
160,Plant-filled colorful Bushwick bedroom!,Private room,638.0,5.0,2.0,No smoking & No parties,1,Panama City
161,Bedroom with private access to patio,Private room,77.0,10.0,2.0,No parties,2,Reno
162,Sweet Historic Greenpoint Duplex,Entire home/apt,753.0,3.0,2.0,No parties & No children under 10,7,Albuquerque
163,♥Private Master Bath | Express Train+Free Parking☆,Entire home/apt,579.0,1.0,3.0,No smoking,5,Hilo
164,"Modern, bright 1 BR Brooklyn apt - Great location!",Entire home/apt,1033.0,2.0,5.0,No parties & No pets,9,Redding
165,Huge Loft - Heart of Williamsburg,Entire home/apt,518.0,2.0,3.0,No smoking,4,Jacksonville
166,Your private space in Brooklyn,Private room,859.0,1.0,3.0,No pets & No children under 10,2,Fargo
167,"East 63rd street, Studio Serviced Apartment",Entire home/apt,417.0,30.0,3.0,No parties & No visitors & No pets,4,Kalamazoo
168,"Walk everywhere, See everything!
2BR Midtown West",Private room,1016.0,1.0,4.0,No parties,1,Bemidji
169,Hamilton Heights Abode,Private room,601.0,7.0,4.0,No children under 10,1,Cedar City
170,Studio Apartment in a Doorman Building,Entire home/apt,823.0,1.0,4.0,,6,Wichita Falls
171,"Contemporary Home Away from Home, Entire house",Entire home/apt,290.0,2.0,3.0,No visitors,2,Baltimore
172,PARK SLOPE TOWNHOUSE,Entire home/apt,565.0,3.0,3.0,,3,San Angelo
173,Stunning 1-Bedroom NYC Apartment on the River!,Entire home/apt,68.0,30.0,2.0,No children under 10,3,Pocatello
174,Beautiful large floor-through apartment,Entire home/apt,769.0,3.0,5.0,No children under 10,4,Kansas City
175,Private Bed and Bath for Two!,Private room,343.0,3.0,4.0,No visitors & No pets,1,Greensboro
176,Madison Avenue 1 Bedroom Suite,Entire home/apt,166.0,30.0,3.0,No children under 10,2,Dillingham
177,Cozy 1BD in a cool neighborhood.,Entire home/apt,1193.0,3.0,1.0,No visitors,8,Lewiston
178,The Gramercy East,Entire home/apt,1031.0,2.0,4.0,No pets,10,St. Cloud
179,West Village Gem - 2BR,Entire home/apt,581.0,3.0,,No parties & No pets,5,Lafayette
180,Charming Bedroom in E. Williamsburg by Graham Av L,Private room,200.0,24.0,3.0,,2,Jackson
181,Amazing Brooklyn,Private room,905.0,7.0,3.0,No smoking & No parties & No visitors,1,Arcata
182,A4Long Island City Big Room Great Location,Private room,808.0,1.0,2.0,No visitors & No pets,2,San Jose
183,Entire Awesome One Bed-Lower East Side Manhattan,Entire home/apt,1191.0,30.0,3.0,,6,Salisbury
184,Unique Prime Location NYC  Sleeps 6,Entire home/apt,196.0,3.0,3.0,No smoking & No children under 10 & No pets,2,Ogden
185,Sunlit Charming Studio in Park Slope,Entire home/apt,812.0,30.0,5.0,No visitors,2,Palm Springs
186,Master Bedroom in Quaint French Neighborhood,Private room,543.0,1.0,1.0,No smoking & No children under 10,2,Lincoln
187,Room with its private bathroom and garden access,Private room,1114.0,3.0,1.0,No children under 10 & No pets & No parties,2,Bristol
188,"Secret Garden Apartment in Bed Stuy, Brooklyn",Entire home/apt,214.0,2.0,4.0,No smoking & No children under 10,3,Wichita
189,Sunny & Spacious 2 bdrm apt,Entire home/apt,914.0,4.0,3.0,No smoking,9,Idaho Falls
190,Manhattan view in Bushwick,Private room,406.0,1.0,3.0,,1,Rhinelander
191,Fresh Studio in Brooklyn Townhouse,Entire home/apt,945.0,2.0,2.0,,5,Myrtle Beach
192,Cozy 1 bedroom in the heart of Fort Greene,Entire home/apt,751.0,3.0,5.0,No pets & No parties,6,Detroit
193,"Joyce and Donovan's, Room for One",Private room,83.0,25.0,2.0,No parties,2,Abilene
194,"Luxury 1BR in Times Square ""Urban Oasis""",Entire home/apt,383.0,4.0,5.0,No pets & No visitors,2,St. George
195,Newly Renovated Private Bedroom Near Columbia U!,Private room,247.0,30.0,4.0,,1,Las Vegas
196,Wonderful Private Room with Spacious Outdoor Patio,Private room,980.0,2.0,4.0,,2,Durango
197,Beautiful Brownstone in Boerum Hill,Entire home/apt,1165.0,3.0,1.0,No parties,9,Kahului
198,Hudson Yard - Lux King Room,Private room,1066.0,1.0,2.0,No smoking,1,Norfolk
199,NYC HUB GuestRoom: Train @ 900ft; midtown 30min!,Private room,216.0,2.0,4.0,No parties,2,Omaha
200,Cozy place to stay 7 minutes from Manhattan...,Private room,912.0,3.0,3.0,No pets,2,Tucson
201,Place of peace,Private room,1062.0,1.0,2.0,No children under 10 & No smoking & No parties,2,Panama City
202,*WINTER DISCOUNT WILLIAMSBURG CHIC W/PRIVATE PATIO,Entire home/apt,200.0,3.0,2.0,No parties & No pets,3,San Juan
203,Sunny and Bright Room,Private room,667.0,2.0,2.0,No children under 10 & No parties & No smoking,1,Lewisburg
204,"""HELLO BROOKLYN"" PARK SIDE VIEW NEWLY RENO APT.",Entire home/apt,789.0,1.0,5.0,No parties & No visitors,6,Miami
205,"Clean, cozy bedroom in luxury building",Private room,56.0,1.0,4.0,No children under 10,2,West Yellowstone
206,"Sunny, 1 Bedroom in Bedstuy, Brooklyn",Entire home/apt,160.0,7.0,4.0,No smoking,2,Kalamazoo
207,Beautiful 1BR in the heart of the West Village,Private room,210.0,5.0,5.0,No visitors & No smoking & No children under 10,2,Aberdeen
208,Large NYC room billionaires row 5 min CentralPark!,Private room,492.0,3.0,1.0,No parties & No smoking,1,Cedar Rapids
209,"sunny airy bohemian rm, private bath! hip 'shwick",Private room,592.0,2.0,4.0,No smoking,2,Texarkana
210,Sunny one bedroom on the Upper East Side,Entire home/apt,336.0,2.0,1.0,No children under 10,2,Dickinson
211,The Diamond Room,Private room,1008.0,1.0,5.0,No parties & No visitors,1,Knoxville
212,"Clean & bright 1BR in Cobble Hill, GREAT location!",Entire home/apt,316.0,2.0,2.0,No smoking & No children under 10,3,Scottsbluff
213,whole apartment & 2 cats!,Entire home/apt,93.0,3.0,5.0,No visitors & No children under 10,3,Sitka
214,Newly renovated shared room in great neighborhood2,Shared room,769.0,30.0,2.0,No smoking,1,Salisbury
215,和缘浪漫民宿,Private room,897.0,1.0,3.0,No children under 10 & No parties & No visitors,1,Billings
216,Midtown East,Entire home/apt,1145.0,3.0,3.0,No parties & No pets,9,Elko
217,Gorgeous Brooklyn Bedroom with Luxury Decor,Private room,920.0,2.0,4.0,No children under 10 & No pets & No smoking,2,Stockton
218,"STEPS TO LGA, Near CITIFIELD, JFK MANHATTAN(RM 3)",Private room,470.0,1.0,4.0,No children under 10,2,Presque Isle
219,Smart Home in the Heart of Harlem,Entire home/apt,499.0,2.0,2.0,No pets,3,Charleston
220,MASTER PRIVATE BATHROOM - 2 BEDS - NEXT TO METRO,Private room,543.0,30.0,2.0,No pets,1,Bemidji
221,Sun-filled Artist Home 1BR in convenient L.I.C !,Entire home/apt,1065.0,2.0,5.0,No children under 10,5,Santa Ana
222,Discount! Central Clean & Quiet,Private room,405.0,4.0,3.0,No parties,1,Green Bay
223,BSM2. Shares basement,Shared room,743.0,2.0,4.0,No pets,1,Champaign
224,Welcoming Warm and Walk to all!,Private room,327.0,14.0,5.0,,2,Peoria
225,Sunny Private Rm in Bushwick,Private room,284.0,2.0,4.0,No parties & No pets,1,Bend
226,Amazing 1bd in the heart of NYC!!!,Private room,130.0,1.0,5.0,,2,Nantucket
227,Spacious yet Cozy Room in Manhattan,Private room,566.0,3.0,4.0,No visitors,2,Gainesville
228,Luxurious Three Bedroom,Entire home/apt,286.0,3.0,2.0,No parties & No pets,2,Hibbing
229,Geodesic Dome,Entire home/apt,761.0,5.0,2.0,,6,Yakima
230,Convenient nook,Private room,918.0,31.0,5.0,,2,Columbus
231,New York Getaway Beautiful Room,Private room,110.0,1.0,2.0,,1,Victoria
232,Cozy Nolita Apartment,Entire home/apt,170.0,2.0,2.0,No smoking & No parties,3,Harrisburg
233,Spectacular one bedroom Close to Park,Entire home/apt,180.0,31.0,1.0,No parties,3,Long Beach
234,"Brooklyn Charmer, Close to Everything NYC!",Entire home/apt,568.0,2.0,4.0,No children under 10 & No parties,5,Huntsville
235,Luxury Studio Apt Overlooking the Hudson River,Entire home/apt,1183.0,30.0,1.0,No visitors,8,Bend
236,Modern Brooklyn Lifestyle,Entire home/apt,954.0,1.0,2.0,No pets,6,Barrow
237,NiceRoomNiceNeighborhoodCloseMaimonidesHospital,Private room,845.0,1.0,5.0,No pets,1,State College
238,Sunny duplex near Central Park,Entire home/apt,541.0,1.0,1.0,No pets,5,Moline
239,Charming Cobble Hill Brownstone Apartment,Entire home/apt,220.0,2.0,4.0,No pets,3,Devils Lake
240,Spacious Upper East Side 1BR apt near attractions,Entire home/apt,119.0,30.0,2.0,No visitors,2,Gainesville
241,Fully renovated 1 bedroom apartment,Entire home/apt,462.0,1.0,5.0,No children under 10,2,Concord
242,Amazing View of NYC,Entire home/apt,368.0,3.0,5.0,No smoking & No visitors,2,Owensboro
243,Nice Room,Private room,564.0,2.0,3.0,No smoking,2,Syracuse
244,Huge Madison Avenue Loft,Entire home/apt,1039.0,30.0,1.0,,10,Nantucket
245,"Quiet light-filled apt, subway near",Entire home/apt,1119.0,16.0,3.0,,2,Ponce
246,Brooklyn Brownstone duplex + garden,Entire home/apt,126.0,7.0,5.0,No pets,2,Kansas City
247,"Huge, Clean Brooklyn Room with lots of light",Private room,576.0,2.0,3.0,No pets,1,Presque Isle
248,Entire Cozy Studio in Central Harlem,Entire home/apt,299.0,2.0,3.0,,2,Lake Charles
249,Room 4 -Sunny Cozy Room in Historic Victorian Home,Private room,1196.0,2.0,4.0,No parties & No children under 10,2,Walla Walla
250,Sunny Private Room in Prime Bushwick on the park!,Private room,600.0,3.0,2.0,,1,Longview
251,"Quiet, Private and Sunny in Greenwich Village",Entire home/apt,492.0,2.0,2.0,No children under 10,4,Moline
252,Private basement studio with backyard access.,Private room,663.0,3.0,2.0,No children under 10,2,Provo
253,COZY APT CLOSE TO LGA & JFK AND TRANSPORTATION,Entire home/apt,652.0,2.0,3.0,No children under 10,2,Jamestown
254,Renovated 2 Bedroom Apartment,Entire home/apt,372.0,2.0,4.0,No parties & No visitors & No pets,2,Spokane
255,Friendly Upper West Side Apartment,Entire home/apt,761.0,1.0,5.0,No pets & No children under 10 & No parties,6,Iron Mountain
256,Large Cozy Bedroom Near Manhattan & Airport,Private room,266.0,28.0,4.0,No parties & No pets & No smoking,1,Victoria
257,Affordable Space in Washington Heights Manhattan,Shared room,389.0,1.0,3.0,,1,San Diego
258,Studio apartment; close to tourist attractions,Entire home/apt,769.0,2.0,4.0,No visitors & No smoking,6,Dayton
259,1 Room in Apt. near Columbia Univ.,Private room,470.0,2.0,2.0,No pets,2,Lexington
260,Central Park North 1BD,Shared room,650.0,1.0,3.0,,1,Aberdeen
